Phantom Group,Sex,Compound Organ,Acronym,Constituent Organ IDs,Reference Mass (g),Phantom Mass (g),% Error
ICRP145_RESIZED,Male,Bronchiolar secretory cells,Brchiol-sec,813,0.0,0.0,
ICRP145_RESIZED,Male,Alveolar-interstitium,AI,9700_9900,1060.6968515359013,1060.6968515359013,0.0
ICRP145_RESIZED,Male,Thoracic lymph nodes,LN-Th,10100,14.112556659780322,14.112556659780322,0.0
ICRP145_RESIZED,Male,Right lung lobe,RLung,9900,577.6807739263216,577.6807739263216,0.0
ICRP145_RESIZED,Male,Left lung lobe,LLung,9700,483.01607760957955,483.01607760957955,0.0
ICRP145_RESIZED,Male,Right adrenal gland,RAdrenal,200,7.682878120561571,7.682878120561571,0.0
ICRP145_RESIZED,Male,Left adrenal gland,LAdrenal,100,7.682875779483626,7.682875779483626,0.0
ICRP145_RESIZED,Male,Right breast adipose,RBreast-a,6400,6.8876813723224775,6.8876813723224775,0.0
ICRP145_RESIZED,Male,Right breast glandular,RBreast-g,6500,4.5836158899336334,4.5836158899336334,0.0
ICRP145_RESIZED,Male,Left breast adipose,LBreast-a,6200,6.887520596157155,6.887520596157155,0.0
ICRP145_RESIZED,Male,Left breast glandular,LBreast-g,6300,4.58361301966038,4.58361301966038,0.0
ICRP145_RESIZED,Male,RBreast-a + RBreast-g,RBreast,6400_6500,11.471297262256112,11.471297262256112,0.0
ICRP145_RESIZED,Male,LBreast-a + LBreast-g,LBreast,6200_6300,11.471133615817536,11.471133615817536,0.0
ICRP145_RESIZED,Male,RBreast-a + LBreast-a,Breast-a,6200_6400,13.775201968479632,13.775201968479632,0.0
ICRP145_RESIZED,Male,RBreast-g + LBreast-g,Breast-g,6300_6500,9.167228909594012,9.167228909594012,0.0
ICRP145_RESIZED,Male,Entire lens of eye,Lens-ent,6600_6601_6800_6801,0.43190108842848085,0.43190108842848085,0.0
ICRP145_RESIZED,Male,Sensitive lens of eye,Lens-sen,6600_6800,0.07361677337481601,0.07361677337481601,0.0
ICRP145_RESIZED,Male,Right kidney cortex,RKidney-C,9200,147.36370239894558,147.36370239894558,0.0
ICRP145_RESIZED,Male,Right kidney medulla,RKidney-M,9300,34.82936822852215,34.82936822852215,0.0
ICRP145_RESIZED,Male,Right kidney pelvis,RKidney-P,9400,6.9836222854053345,6.9836222854053345,0.0
ICRP145_RESIZED,Male,Right kidney C+M+P,RKidney,9200_9300_9400,189.17669291287308,189.17669291287308,0.0
ICRP145_RESIZED,Male,Left kidney cortex,LKidney-C,8900,143.6442636351903,143.6442636351903,0.0
ICRP145_RESIZED,Male,Left kidney medulla,LKidney-M,9000,33.94199459608314,33.94199459608314,0.0
ICRP145_RESIZED,Male,Left kidney pelvis,LKidney-P,9100,6.770647506720763,6.770647506720763,0.0
ICRP145_RESIZED,Male,Left kidney C+M+P,LKidney,8900_9000_9100,184.3569057379942,184.3569057379942,0.0
ICRP145_RESIZED,Male,Right ovary,ROvary,11200,0.0,0.0,
ICRP145_RESIZED,Male,Left ovary,LOvary,11100,0.0,0.0,
ICRP145_RESIZED,Male,Pituitary gland,P-gland,11400,0.587518741194832,0.587518741194832,0.0
ICRP145_RESIZED,Male,Spinal cord,Sp-cord,12600,33.88678693897573,33.88678693897573,0.0
ICRP145_RESIZED,Male,Ureters,Ureters,13500_13600,14.672290289421289,14.672290289421289,0.0
ICRP145_RESIZED,Male,Adipose/residual tissue,Adipose,11600,15614.359488339216,15614.359488339216,0.0
ICRP145_RESIZED,Female,Red (active) marrow,R-marrow,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,2204.9766058317623,2204.9766058317623,0.0
ICRP145_RESIZED,Female,Colon wall,Colon,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,401.0345610872907,401.0345610872907,0.0
